,predict,real
2017-09-01 13:00:00,0.8731997,0.8635704
2017-09-01 14:00:00,0.8745772,0.8492537
2017-09-01 15:00:00,0.870855,0.88
2017-09-01 16:00:00,0.887789,0.8816568
2017-09-01 17:00:00,0.88862056,0.88522726
2017-09-01 18:00:00,0.89771086,0.90094835
2017-09-01 19:00:00,0.90127057,0.9167672
2017-09-01 20:00:00,0.89987206,0.923341
2017-09-01 21:00:00,0.9121242,0.86754966
2017-09-01 22:00:00,0.8366515,0.89772725
2017-09-01 23:00:00,0.8943844,0.88809526
2017-09-02 00:00:00,0.83895135,0.8710191
2017-09-02 01:00:00,0.79920876,0.7883959
2017-09-02 02:00:00,0.7194636,0.6896552
2017-09-02 03:00:00,0.6010256,0.627907
2017-09-02 04:00:00,0.51970893,0.56
2017-09-02 05:00:00,0.4399595,0.48214287
2017-09-02 06:00:00,0.40642065,0.46551725
2017-09-02 07:00:00,0.5274518,0.5811966
2017-09-02 08:00:00,0.7695873,0.80054647
2017-09-02 09:00:00,0.8989723,0.8424544
2017-09-02 10:00:00,0.8596522,0.8595745
2017-09-02 11:00:00,0.8710538,0.8613861
2017-09-02 12:00:00,0.87035024,0.889258
2017-09-02 13:00:00,0.88526213,0.9066059
2017-09-02 14:00:00,0.8929994,0.8820912
2017-09-02 15:00:00,0.8832238,0.91968656
2017-09-02 16:00:00,0.90840805,0.88508064
2017-09-02 17:00:00,0.88809675,0.88241637
2017-09-02 18:00:00,0.8986443,0.89853746
2017-09-02 19:00:00,0.89412206,0.92068964
2017-09-02 20:00:00,0.87810194,0.8920705
2017-09-02 21:00:00,0.84026736,0.8754171
2017-09-02 22:00:00,0.8416483,0.89423984
2017-09-02 23:00:00,0.85660297,0.91217566
2017-09-03 00:00:00,0.85652184,0.8484375
2017-09-03 01:00:00,0.782572,0.75728154
2017-09-03 02:00:00,0.69720644,0.6685083
2017-09-03 03:00:00,0.5811617,0.62204725
2017-09-03 04:00:00,0.50117445,0.5064935
2017-09-03 05:00:00,0.40478897,0.44
2017-09-03 06:00:00,0.41199306,0.48076922
2017-09-03 07:00:00,0.6215974,0.6082474
2017-09-03 08:00:00,0.81029207,0.69721115
2017-09-03 09:00:00,0.82944673,0.80087525
2017-09-03 10:00:00,0.8553897,0.8218391
2017-09-03 11:00:00,0.8557675,0.8453125
2017-09-03 12:00:00,0.86557394,0.84646195
2017-09-03 13:00:00,0.8653469,0.8726415
2017-09-03 14:00:00,0.8795195,0.87126434
2017-09-03 15:00:00,0.8783109,0.89043826
2017-09-03 16:00:00,0.89062214,0.887
2017-09-03 17:00:00,0.8892263,0.8797872
2017-09-03 18:00:00,0.8917877,0.89076465
2017-09-03 19:00:00,0.9004326,0.9068136
2017-09-03 20:00:00,0.89742494,0.86923075
2017-09-03 21:00:00,0.8334798,0.87110484
2017-09-03 22:00:00,0.8508161,0.8712221
2017-09-03 23:00:00,0.82870543,0.8503937
2017-09-04 00:00:00,0.7808875,0.7757437
2017-09-04 01:00:00,0.70375335,0.7
2017-09-04 02:00:00,0.62004185,0.62068963
2017-09-04 03:00:00,0.5199003,0.5543478
2017-09-04 04:00:00,0.44396123,0.4385965
2017-09-04 05:00:00,0.39655036,0.39130434
2017-09-04 06:00:00,0.47788927,0.5576923
2017-09-04 07:00:00,0.7479475,0.6904762
2017-09-04 08:00:00,0.845726,0.8516378
2017-09-04 09:00:00,0.87662524,0.8915009
2017-09-04 10:00:00,0.88022906,0.83557045
2017-09-04 11:00:00,0.8538318,0.8301527
2017-09-04 12:00:00,0.859794,0.80747664
2017-09-04 13:00:00,0.8514983,0.79881656
2017-09-04 14:00:00,0.85246205,0.7889688
2017-09-04 15:00:00,0.85007495,0.847793
2017-09-04 16:00:00,0.87814003,0.83360523
2017-09-04 17:00:00,0.86607057,0.8218954
2017-09-04 18:00:00,0.8575109,0.89830506
2017-09-04 19:00:00,0.9052418,0.8606061
2017-09-04 20:00:00,0.8221102,0.8349146
2017-09-04 21:00:00,0.8257831,0.8223062
2017-09-04 22:00:00,0.81123346,0.8101504
2017-09-04 23:00:00,0.7577259,0.81950206
2017-09-05 00:00:00,0.77221066,0.79373366
2017-09-05 01:00:00,0.73579246,0.7064677
2017-09-05 02:00:00,0.636001,0.58928573
2017-09-05 03:00:00,0.5187112,0.5609756
2017-09-05 04:00:00,0.48342112,0.35897437
2017-09-05 05:00:00,0.34436354,0.22580644
2017-09-05 06:00:00,0.36781672,0.36734694
2017-09-05 07:00:00,0.6265757,0.7044025
2017-09-05 08:00:00,0.8970791,0.85258967
2017-09-05 09:00:00,0.869396,0.8825397
2017-09-05 10:00:00,0.86894566,0.8420139
2017-09-05 11:00:00,0.85423785,0.8090551
2017-09-05 12:00:00,0.845802,0.81238616
2017-09-05 13:00:00,0.85341084,0.81929827
2017-09-05 14:00:00,0.8586107,0.8112033
2017-09-05 15:00:00,0.8563156,0.83074266
2017-09-05 16:00:00,0.8669023,0.8050541
2017-09-05 17:00:00,0.85427123,0.8201835
2017-09-05 18:00:00,0.86608416,0.8743386
2017-09-05 19:00:00,0.85923034,0.8667688
2017-09-05 20:00:00,0.83267903,0.78969073
2017-09-05 21:00:00,0.7632636,0.7721822
2017-09-05 22:00:00,0.75389427,0.83160084
2017-09-05 23:00:00,0.7940699,0.7888349
2017-09-06 00:00:00,0.7062532,0.75827813
2017-09-06 01:00:00,0.6964103,0.69822484
2017-09-06 02:00:00,0.65899277,0.6229508
2017-09-06 03:00:00,0.55126643,0.5591398
2017-09-06 04:00:00,0.4989982,0.14285715
2017-09-06 05:00:00,0.25983664,0.33333334
2017-09-06 06:00:00,0.45413658,0.41269842
2017-09-06 07:00:00,0.7534,0.6730769
2017-09-06 08:00:00,0.8386964,0.82563025
2017-09-06 09:00:00,0.86249983,0.86175114
2017-09-06 10:00:00,0.86279464,0.8474843
2017-09-06 11:00:00,0.8568535,0.8318891
2017-09-06 12:00:00,0.8543987,0.8411371
2017-09-06 13:00:00,0.8626413,0.83472455
2017-09-06 14:00:00,0.8619538,0.8290441
2017-09-06 15:00:00,0.86295503,0.8868176
2017-09-06 16:00:00,0.88949364,0.86349696
2017-09-06 17:00:00,0.87607056,0.857362
2017-09-06 18:00:00,0.8823805,0.87150836
2017-09-06 19:00:00,0.87008864,0.89404935
2017-09-06 20:00:00,0.8678078,0.8378378
2017-09-06 21:00:00,0.800403,0.83074266
2017-09-06 22:00:00,0.8139625,0.8509934
2017-09-06 23:00:00,0.8167758,0.85102737
2017-09-07 00:00:00,0.78064793,0.7722513
2017-09-07 01:00:00,0.7028297,0.7242798
2017-09-07 02:00:00,0.6690916,0.6086956
2017-09-07 03:00:00,0.51783407,0.4949495
2017-09-07 04:00:00,0.40182668,0.4262295
2017-09-07 05:00:00,0.38902283,0.37254903
2017-09-07 06:00:00,0.4464715,0.37037036
2017-09-07 07:00:00,0.6135503,0.67763156
2017-09-07 08:00:00,0.86366993,0.8122449
2017-09-07 09:00:00,0.86700124,0.85830617
2017-09-07 10:00:00,0.8644028,0.8506711
2017-09-07 11:00:00,0.8619562,0.82342345
2017-09-07 12:00:00,0.85214657,0.84263957
2017-09-07 13:00:00,0.8656396,0.80657643
2017-09-07 14:00:00,0.85100186,0.81768954
2017-09-07 15:00:00,0.86171734,0.90772533
2017-09-07 16:00:00,0.9014385,0.8906606
2017-09-07 17:00:00,0.8857699,0.8482871
2017-09-07 18:00:00,0.87473476,0.8431085
2017-09-07 19:00:00,0.8493594,0.88413095
2017-09-07 20:00:00,0.8554595,0.84485406
2017-09-07 21:00:00,0.79755557,0.83074266
2017-09-07 22:00:00,0.8010922,0.8356807
2017-09-07 23:00:00,0.80595523,0.8492647
2017-09-08 00:00:00,0.7867908,0.7668845
2017-09-08 01:00:00,0.69500464,0.6825397
2017-09-08 02:00:00,0.61780405,0.5955882
2017-09-08 03:00:00,0.51799405,0.6131387
2017-09-08 04:00:00,0.5033568,0.42307693
2017-09-08 05:00:00,0.38462296,0.34285715
2017-09-08 06:00:00,0.41906694,0.3898305
2017-09-08 07:00:00,0.64210343,0.63372093
2017-09-08 08:00:00,0.8423646,0.8265107
2017-09-08 09:00:00,0.87906075,0.8964029
2017-09-08 10:00:00,0.8804096,0.8573574
2017-09-08 11:00:00,0.8615916,0.8298887
2017-09-08 12:00:00,0.85540175,0.88290715
2017-09-08 13:00:00,0.8832222,0.87319887
2017-09-08 14:00:00,0.87571275,0.8612303
2017-09-08 15:00:00,0.87534714,0.87713313
2017-09-08 16:00:00,0.8855111,0.88574535
2017-09-08 17:00:00,0.88978726,0.88940626
2017-09-08 18:00:00,0.8973386,0.92371994
2017-09-08 19:00:00,0.9263123,0.92439026
2017-09-08 20:00:00,0.9035653,0.9318413
2017-09-08 21:00:00,0.9288368,0.886076
2017-09-08 22:00:00,0.85873264,0.91553396
2017-09-08 23:00:00,0.9093329,0.9279455
2017-09-09 00:00:00,0.89335823,0.8469861
2017-09-09 01:00:00,0.7645206,0.783237
2017-09-09 02:00:00,0.72433794,0.6666667
2017-09-09 03:00:00,0.56277406,0.66887414
2017-09-09 04:00:00,0.53245497,0.52112675
2017-09-09 05:00:00,0.41683894,0.34615386
2017-09-09 06:00:00,0.3875798,0.64285713
2017-09-09 07:00:00,0.7075335,0.6954023
2017-09-09 08:00:00,0.8605154,0.85573125
2017-09-09 09:00:00,0.8735076,0.90161526
2017-09-09 10:00:00,0.88802856,0.8996618
2017-09-09 11:00:00,0.88147616,0.9085648
2017-09-09 12:00:00,0.8923701,0.9195767
2017-09-09 13:00:00,0.8995449,0.92201835
2017-09-09 14:00:00,0.90286905,0.9013361
2017-09-09 15:00:00,0.89660954,0.9240122
2017-09-09 16:00:00,0.9141146,0.90891474
2017-09-09 17:00:00,0.9056401,0.89484125
2017-09-09 18:00:00,0.88717055,0.9111111
2017-09-09 19:00:00,0.89836186,0.9145978
2017-09-09 20:00:00,0.85017306,0.9219858
2017-09-09 21:00:00,0.8688719,0.918251
2017-09-09 22:00:00,0.8785686,0.90131
2017-09-09 23:00:00,0.8571618,0.9050568
2017-09-10 00:00:00,0.8688795,0.8369565
2017-09-10 01:00:00,0.7674371,0.7816456
2017-09-10 02:00:00,0.70605016,0.7467249
2017-09-10 03:00:00,0.65741616,0.6357143
2017-09-10 04:00:00,0.50797784,0.52
2017-09-10 05:00:00,0.42270204,0.44
2017-09-10 06:00:00,0.43910617,0.53333336
2017-09-10 07:00:00,0.59651566,0.65789473
2017-09-10 08:00:00,0.79789877,0.7865497
2017-09-10 09:00:00,0.85500795,0.8425605
2017-09-10 10:00:00,0.8612799,0.8558559
2017-09-10 11:00:00,0.86663544,0.8647343
2017-09-10 12:00:00,0.87285095,0.89528793
2017-09-10 13:00:00,0.8885947,0.90594596
2017-09-10 14:00:00,0.89266795,0.8964803
2017-09-10 15:00:00,0.8911844,0.91522336
2017-09-10 16:00:00,0.90493315,0.9033149
2017-09-10 17:00:00,0.89998716,0.8883968
2017-09-10 18:00:00,0.90265244,0.930956
2017-09-10 19:00:00,0.9402775,0.91278493
2017-09-10 20:00:00,0.8671121,0.90997565
2017-09-10 21:00:00,0.8736318,0.8967587
2017-09-10 22:00:00,0.8643443,0.8855781
2017-09-10 23:00:00,0.82730037,0.88785046
2017-09-11 00:00:00,0.8358987,0.7893519
2017-09-11 01:00:00,0.7030618,0.7574627
2017-09-11 02:00:00,0.6766746,0.63225806
2017-09-11 03:00:00,0.52757555,0.64356434
2017-09-11 04:00:00,0.4995364,0.36363637
2017-09-11 05:00:00,0.36330548,0.39130434
2017-09-11 06:00:00,0.4394863,0.5942029
2017-09-11 07:00:00,0.7841494,0.7316017
2017-09-11 08:00:00,0.84322447,0.8707224
2017-09-11 09:00:00,0.8781921,0.8942598
2017-09-11 10:00:00,0.87761724,0.88037634
2017-09-11 11:00:00,0.87314653,0.8407351
2017-09-11 12:00:00,0.8596201,0.8484849
2017-09-11 13:00:00,0.86970526,0.8227848
2017-09-11 14:00:00,0.85909027,0.8161351
2017-09-11 15:00:00,0.8609345,0.8541667
2017-09-11 16:00:00,0.87941796,0.86502177
2017-09-11 17:00:00,0.8827129,0.814992
2017-09-11 18:00:00,0.8188581,0.8588589
2017-09-11 19:00:00,0.8574068,0.87058824
2017-09-11 20:00:00,0.8367571,0.8374384
2017-09-11 21:00:00,0.79480374,0.8183556
2017-09-11 22:00:00,0.80704737,0.85935086
2017-09-11 23:00:00,0.8377926,0.84118676
2017-09-12 00:00:00,0.78272176,0.78004533
2017-09-12 01:00:00,0.7287048,0.7535545
2017-09-12 02:00:00,0.71547115,0.6321839
2017-09-12 03:00:00,0.5396901,0.5505618
2017-09-12 04:00:00,0.45772406,0.5714286
2017-09-12 05:00:00,0.49123088,0.4
2017-09-12 06:00:00,0.41604054,0.6052632
2017-09-12 07:00:00,0.642676,0.5743243
2017-09-12 08:00:00,0.77338046,0.8298755
2017-09-12 09:00:00,0.88383776,0.8953125
2017-09-12 10:00:00,0.88680804,0.84758943
2017-09-12 11:00:00,0.8588643,0.8303426
2017-09-12 12:00:00,0.8600351,0.831761
2017-09-12 13:00:00,0.8623224,0.8142361
2017-09-12 14:00:00,0.8568387,0.8235294
2017-09-12 15:00:00,0.8645516,0.8663664
2017-09-12 16:00:00,0.8844564,0.86413044
2017-09-12 17:00:00,0.8799375,0.827856
2017-09-12 18:00:00,0.86016375,0.8483548
2017-09-12 19:00:00,0.8580824,0.86515355
2017-09-12 20:00:00,0.83381605,0.84502447
2017-09-12 21:00:00,0.80713505,0.8504983
2017-09-12 22:00:00,0.8365243,0.84676147
2017-09-12 23:00:00,0.8171945,0.8311927
2017-09-13 00:00:00,0.78660905,0.8142202
2017-09-13 01:00:00,0.7759677,0.7400881
2017-09-13 02:00:00,0.6750791,0.67741936
2017-09-13 03:00:00,0.6019035,0.5
2017-09-13 04:00:00,0.4194041,0.31914893
2017-09-13 05:00:00,0.31344718,0.35714287
2017-09-13 06:00:00,0.4139229,0.49275362
2017-09-13 07:00:00,0.65338975,0.65294117
2017-09-13 08:00:00,0.82627463,0.8375527
2017-09-13 09:00:00,0.86944026,0.86178863
2017-09-13 10:00:00,0.86189324,0.82447666
2017-09-13 11:00:00,0.84839803,0.8220503
2017-09-13 12:00:00,0.8533576,0.83112586
2017-09-13 13:00:00,0.8595838,0.8195212
2017-09-13 14:00:00,0.85693234,0.8239845
2017-09-13 15:00:00,0.8628387,0.8588589
2017-09-13 16:00:00,0.878386,0.83409435
2017-09-13 17:00:00,0.86566514,0.8402556
2017-09-13 18:00:00,0.87458086,0.87787354
2017-09-13 19:00:00,0.8679844,0.8843627
2017-09-13 20:00:00,0.85502374,0.84927064
2017-09-13 21:00:00,0.83125603,0.8502496
2017-09-13 22:00:00,0.84491295,0.8469539
2017-09-13 23:00:00,0.8118606,0.857645
2017-09-14 00:00:00,0.81897515,0.8169014
2017-09-14 01:00:00,0.7691728,0.68085104
2017-09-14 02:00:00,0.60634816,0.6226415
2017-09-14 03:00:00,0.5479822,0.5841584
2017-09-14 04:00:00,0.4835044,0.46875
2017-09-14 05:00:00,0.3828227,0.5538462
2017-09-14 06:00:00,0.48650196,0.375
2017-09-14 07:00:00,0.60570526,0.675
2017-09-14 08:00:00,0.8354685,0.8547486
2017-09-14 09:00:00,0.9046045,0.8809892
2017-09-14 10:00:00,0.87080336,0.8264605
2017-09-14 11:00:00,0.8537192,0.83391607
2017-09-14 12:00:00,0.8619466,0.839934
2017-09-14 13:00:00,0.8652717,0.8223062
2017-09-14 14:00:00,0.85949564,0.8029979
2017-09-14 15:00:00,0.8543359,0.8500824
2017-09-14 16:00:00,0.8786302,0.8168498
2017-09-14 17:00:00,0.8583094,0.8278041
2017-09-14 18:00:00,0.86954063,0.9128878
2017-09-14 19:00:00,0.91044265,0.90616965
2017-09-14 20:00:00,0.8696579,0.8439716
2017-09-14 21:00:00,0.83745605,0.79518074
2017-09-14 22:00:00,0.7778342,0.85358256
2017-09-14 23:00:00,0.82547957,0.84585744
2017-09-15 00:00:00,0.7804584,0.7780679
2017-09-15 01:00:00,0.6976793,0.73364484
2017-09-15 02:00:00,0.6913047,0.6639344
2017-09-15 03:00:00,0.58168197,0.6283186
2017-09-15 04:00:00,0.5220109,0.46296296
2017-09-15 05:00:00,0.40251857,0.3902439
2017-09-15 06:00:00,0.40452176,0.4489796
2017-09-15 07:00:00,0.5888542,0.6946108
2017-09-15 08:00:00,0.8445467,0.8447205
2017-09-15 09:00:00,0.8790667,0.879397
2017-09-15 10:00:00,0.87167543,0.82509506
2017-09-15 11:00:00,0.85011286,0.8327586
2017-09-15 12:00:00,0.8606231,0.81867146
2017-09-15 13:00:00,0.85493225,0.8214286
2017-09-15 14:00:00,0.86038464,0.81274134
2017-09-15 15:00:00,0.8576812,0.8656126
2017-09-15 16:00:00,0.88409084,0.8581979
2017-09-15 17:00:00,0.87604636,0.8824257
2017-09-15 18:00:00,0.8956981,0.9104628
2017-09-15 19:00:00,0.9155995,0.9168704
2017-09-15 20:00:00,0.9102066,0.9233371
2017-09-15 21:00:00,0.93775237,0.89204544
2017-09-15 22:00:00,0.8792939,0.9117647
2017-09-15 23:00:00,0.91498697,0.9209209
2017-09-16 00:00:00,0.90545684,0.84931505
2017-09-16 01:00:00,0.78851783,0.79545456
2017-09-16 02:00:00,0.7435902,0.682243
2017-09-16 03:00:00,0.58276045,0.6594203
2017-09-16 04:00:00,0.53218156,0.47619048
2017-09-16 05:00:00,0.39688873,0.4262295
2017-09-16 06:00:00,0.40529326,0.47619048
2017-09-16 07:00:00,0.6127927,0.6597222
2017-09-16 08:00:00,0.8239527,0.82281554
2017-09-16 09:00:00,0.88689303,0.86757994
2017-09-16 10:00:00,0.865871,0.86162627
2017-09-16 11:00:00,0.8674771,0.87027025
2017-09-16 12:00:00,0.8737814,0.9029622
2017-09-16 13:00:00,0.8904704,0.902439
2017-09-16 14:00:00,0.8898655,0.8747323
2017-09-16 15:00:00,0.8810359,0.912764
2017-09-16 16:00:00,0.9053037,0.8967936
2017-09-16 17:00:00,0.89508486,0.88533837
2017-09-16 18:00:00,0.9001954,0.9223301
2017-09-16 19:00:00,0.93322694,0.93633276
2017-09-16 20:00:00,0.89257866,0.92197907
2017-09-16 21:00:00,0.88610464,0.8831437
2017-09-16 22:00:00,0.8559681,0.9048474
2017-09-16 23:00:00,0.87759554,0.9307692
2017-09-17 00:00:00,0.8841268,0.85806453
2017-09-17 01:00:00,0.7740308,0.76
2017-09-17 02:00:00,0.6938114,0.71548116
2017-09-17 03:00:00,0.6337089,0.6666667
2017-09-17 04:00:00,0.52839375,0.5833333
2017-09-17 05:00:00,0.43748555,0.38
2017-09-17 06:00:00,0.39904138,0.5217391
2017-09-17 07:00:00,0.6149875,0.62184876
2017-09-17 08:00:00,0.82512367,0.76857144
2017-09-17 09:00:00,0.846815,0.8339768
2017-09-17 10:00:00,0.86034614,0.84944534
2017-09-17 11:00:00,0.8628724,0.8406015
2017-09-17 12:00:00,0.8610816,0.87922704
2017-09-17 13:00:00,0.88274425,0.88199514
2017-09-17 14:00:00,0.8813857,0.90486485
2017-09-17 15:00:00,0.8961174,0.8976378
2017-09-17 16:00:00,0.892583,0.91043305
2017-09-17 17:00:00,0.9033071,0.8864322
2017-09-17 18:00:00,0.89708835,0.90510297
2017-09-17 19:00:00,0.90280944,0.92419523
2017-09-17 20:00:00,0.91241837,0.89550424
2017-09-17 21:00:00,0.8474743,0.88723665
2017-09-17 22:00:00,0.85904604,0.87801933
2017-09-17 23:00:00,0.8311803,0.86211514
2017-09-18 00:00:00,0.7921558,0.8127572
2017-09-18 01:00:00,0.73544455,0.74898785
2017-09-18 02:00:00,0.66332364,0.6824324
2017-09-18 03:00:00,0.58143854,0.5851064
2017-09-18 04:00:00,0.47534212,0.47457626
2017-09-18 05:00:00,0.4024145,0.4
2017-09-18 06:00:00,0.43225297,0.5671642
2017-09-18 07:00:00,0.66978544,0.760181
2017-09-18 08:00:00,0.8837217,0.86105675
2017-09-18 09:00:00,0.86998296,0.896124
2017-09-18 10:00:00,0.8835728,0.86469674
2017-09-18 11:00:00,0.8667111,0.83449477
2017-09-18 12:00:00,0.85926974,0.864486
2017-09-18 13:00:00,0.8782031,0.83908045
2017-09-18 14:00:00,0.8648305,0.81784385
2017-09-18 15:00:00,0.8609767,0.87281793
2017-09-18 16:00:00,0.88981664,0.8590705
2017-09-18 17:00:00,0.8776979,0.8199052
2017-09-18 18:00:00,0.83194935,0.8601504
2017-09-18 19:00:00,0.85886323,0.8796895
