,predict,real
2019-02-01 13:00:00,0.31811523,0.31
2019-02-01 14:00:00,0.3332354,0.37355372
2019-02-01 15:00:00,0.36591718,0.3511327
2019-02-01 16:00:00,0.37416348,0.43201607
2019-02-01 17:00:00,0.47656712,0.5
2019-02-01 18:00:00,0.6569404,0.5963061
2019-02-01 19:00:00,0.6230907,0.5567392
2019-02-01 20:00:00,0.46329448,0.4445993
2019-02-01 21:00:00,0.33579344,0.32034633
2019-02-01 22:00:00,0.23405391,0.26060605
2019-02-01 23:00:00,0.18513975,0.19517103
2019-02-02 00:00:00,0.14355497,0.15315315
2019-02-02 01:00:00,0.08560558,0.08558559
2019-02-02 02:00:00,0.044549074,0.051612902
2019-02-02 03:00:00,0.01936699,0.033707865
2019-02-02 04:00:00,0.0055813566,0.0
2019-02-02 05:00:00,0.0012427941,0.0
2019-02-02 06:00:00,0.06873227,0.05172414
2019-02-02 07:00:00,0.15770216,0.05479452
2019-02-02 08:00:00,0.14121592,0.17837837
2019-02-02 09:00:00,0.30105248,0.26196808
2019-02-02 10:00:00,0.3683045,0.39603105
2019-02-02 11:00:00,0.45115456,0.43164983
2019-02-02 12:00:00,0.41275504,0.47472924
2019-02-02 13:00:00,0.48633975,0.47314715
2019-02-02 14:00:00,0.4925245,0.50817883
2019-02-02 15:00:00,0.51662225,0.5105263
2019-02-02 16:00:00,0.5019604,0.49475342
2019-02-02 17:00:00,0.48142543,0.50782514
2019-02-02 18:00:00,0.48110124,0.43937418
2019-02-02 19:00:00,0.39434332,0.38595167
2019-02-02 20:00:00,0.33024737,0.37478262
2019-02-02 21:00:00,0.30337572,0.3201856
2019-02-02 22:00:00,0.23218182,0.24668874
2019-02-02 23:00:00,0.16242106,0.17466411
2019-02-03 00:00:00,0.11800732,0.20484582
2019-02-03 01:00:00,0.1392493,0.1491228
2019-02-03 02:00:00,0.09954677,0.13620071
2019-02-03 03:00:00,0.07280175,0.05625
2019-02-03 04:00:00,0.027853638,0.04597701
2019-02-03 05:00:00,0.024349477,0.0
2019-02-03 06:00:00,-0.0097078085,0.017857144
2019-02-03 07:00:00,0.058191206,0.0625
2019-02-03 08:00:00,0.1320481,0.13407822
2019-02-03 09:00:00,0.23506251,0.28201813
2019-02-03 10:00:00,0.43282753,0.40031645
2019-02-03 11:00:00,0.5283851,0.48767123
2019-02-03 12:00:00,0.4641216,0.5340517
2019-02-03 13:00:00,0.48005337,0.5710556
2019-02-03 14:00:00,0.58244985,0.62352145
2019-02-03 15:00:00,0.6411244,0.64351004
2019-02-03 16:00:00,0.644489,0.6152207
2019-02-03 17:00:00,0.61021274,0.6081218
2019-02-03 18:00:00,0.59384394,0.604446
2019-02-03 19:00:00,0.5479426,0.5202343
2019-02-03 20:00:00,0.43472576,0.2845771
2019-02-03 21:00:00,0.18592057,0.25721785
2019-02-03 22:00:00,0.18396586,0.2030303
2019-02-03 23:00:00,0.18444303,0.43284622
2019-02-04 00:00:00,0.19784766,0.20747663
2019-02-04 01:00:00,0.15369622,0.060913704
2019-02-04 02:00:00,0.0148172155,0.025974026
2019-02-04 03:00:00,0.02521804,0.024390243
2019-02-04 04:00:00,0.018368106,0.0
2019-02-04 05:00:00,0.012173578,0.053333335
2019-02-04 06:00:00,0.112558514,0.13636364
2019-02-04 07:00:00,0.21203753,0.410596
2019-02-04 08:00:00,0.61480105,0.62250656
2019-02-04 09:00:00,0.7827222,0.7664888
2019-02-04 10:00:00,0.66556704,0.6498863
2019-02-04 11:00:00,0.38960904,0.45894
2019-02-04 12:00:00,0.39855868,0.44593024
2019-02-04 13:00:00,0.4582777,0.48632812
2019-02-04 14:00:00,0.47699288,0.50497395
2019-02-04 15:00:00,0.4974186,0.5091225
2019-02-04 16:00:00,0.5284184,0.54586464
2019-02-04 17:00:00,0.6149379,0.6364447
2019-02-04 18:00:00,0.76959664,0.7865642
2019-02-04 19:00:00,0.75412536,0.749217
2019-02-04 20:00:00,0.59218556,0.681484
2019-02-04 21:00:00,0.5396629,0.52130824
2019-02-04 22:00:00,0.38007107,0.40651557
2019-02-04 23:00:00,0.3083468,0.31612903
2019-02-05 00:00:00,0.21593809,0.14976959
2019-02-05 01:00:00,0.07394242,0.06140351
2019-02-05 02:00:00,0.022986874,0.072164945
