,time,wait,com
2017-10-01 02:14:00,1506795240000,62000,120000.0
2017-10-01 02:16:00,1506795360000,61000,120000.0
2017-10-01 02:17:00,1506795420000,76000,120000.0
2017-10-01 02:18:00,1506795480000,120000,120000.0
2017-10-01 02:19:00,1506795540000,120000,120000.0
2017-10-01 02:21:00,1506795660000,122000,120000.0
2017-10-01 02:22:00,1506795720000,62000,120000.0
2017-10-01 02:24:00,1506795840000,57000,120000.0
2017-10-01 02:25:00,1506795900000,85000,120000.0
2017-10-01 02:26:00,1506795960000,25000,120000.0
2017-10-01 02:27:00,1506796020000,54000,120000.0
2017-10-01 02:28:00,1506796080000,120000,120000.0
2017-10-01 02:29:00,1506796140000,95000,120000.0
2017-10-01 02:30:00,1506796200000,83000,120000.0
2017-10-01 02:31:00,1506796260000,120000,120000.0
2017-10-01 02:32:00,1506796320000,123000,120000.0
2017-10-01 02:34:00,1506796440000,94000,120000.0
2017-10-01 02:35:00,1506796500000,34000,120000.0
2017-10-01 02:36:00,1506796560000,120000,120000.0
2017-10-01 02:38:00,1506796680000,33000,120000.0
2017-10-01 02:39:00,1506796740000,57000,120000.0
2017-10-01 02:40:00,1506796800000,72000,120000.0
2017-10-01 02:41:00,1506796860000,125000,120000.0
2017-10-01 02:42:00,1506796920000,65000,120000.0
2017-10-01 02:44:00,1506797040000,120000,120000.0
2017-10-01 02:45:00,1506797100000,120000,120000.0
2017-10-01 02:48:00,1506797280000,120000,120000.0
2017-10-01 02:49:00,1506797340000,121000,120000.0
2017-10-01 02:50:00,1506797400000,61000,120000.0
2017-10-01 02:52:00,1506797520000,97000,120000.0
2017-10-01 02:54:00,1506797640000,120000,120000.0
2017-10-01 02:55:00,1506797700000,103000,120000.0
2017-10-01 02:57:00,1506797820000,91000,120000.0
2017-10-01 02:58:00,1506797880000,84000,120000.0
2017-10-01 02:59:00,1506797940000,120000,120000.0
2017-10-01 03:00:00,1506798000000,120000,120000.0
2017-10-01 03:03:00,1506798180000,120000,120000.0
2017-10-01 03:06:00,1506798360000,43000,120000.0
2017-10-01 03:07:00,1506798420000,57000,120000.0
2017-10-01 03:08:00,1506798480000,41000,120000.0
